תאריך עדכון,קוד יישוב,שם יישוב,קוד רובע,שם רובע,חולים פעילים,"חולים חדשים ל-10,000 נפש",שיעור בדיקות חיוביות,יחס הכפלה,צבע לפי חישוב יומי,צבע לפי החלטת ממשלה,government_color_next_week,x,y
19/08/2021,967,אבו ג'ווייעד (שבט),-999,לא רלוונטי,19,30.11400301,2.8,40,צהוב,ירוק,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,472,אבו גוש,-999,לא רלוונטי,15>,16.53523277,1.5,30,צהוב,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,473,אבו סנאן,-999,לא רלוונטי,55,30.75632602,6.3,100,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,961,אבו רוקייק (שבט),-999,לא רלוונטי,15>,3.913128546,5.3,0,ירוק,ירוק,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,1375,אבו תלול,-999,לא רלוונטי,15>,0,0,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,652,אבטין,-999,לא רלוונטי,15>,6.927606512,2.6,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,182,אבן יהודה,-999,לא רלוונטי,111,61.27101738,4.4,50.9,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3793,אבני חפץ,-999,לא רלוונטי,15>,43.29004329,5.6,-16.7,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,2710,אום אל-פחם,-999,לא רלוונטי,129,17.63264155,5.8,92.3,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,2710,אום אל-פחם,-999,לא רלוונטי,129,17.63264155,5.8,92.3,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,1358,אום בטין,-999,לא רלוונטי,15>,0,0,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,31,אופקים,-999,לא רלוונטי,450,103.7741676,9.8,108.7,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,2400,אור יהודה,-999,לא רלוונטי,374,75.70995162,7.6,33.2,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,1020,אור עקיבא,-999,לא רלוונטי,178,58.71143843,6.7,26.7,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3760,אורנית,-999,לא רלוונטי,61,46.61487236,3.5,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,565,אזור,-999,לא רלוונטי,142,74.84124584,8,-6.6,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,1330,אחוזת ברק,-999,לא רלוונטי,15>,54.2118432,4.6,30,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,2600,אילת,-999,לא רלוונטי,413,63.42011541,5.7,85,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,2600,אילת,-999,לא רלוונטי,413,63.42011541,5.7,85,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,2600,אילת,-999,לא רלוונטי,413,63.42011541,5.7,85,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,2600,אילת,-999,לא רלוונטי,413,63.42011541,5.7,85,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,478,אכסאל,-999,לא רלוונטי,15>,6.649378283,2.1,-52.4,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,1359,אל סייד,-999,לא רלוונטי,15>,4.951312098,18.8,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3604,אלון שבות,-999,לא רלוונטי,15>,22.5008036,1.5,0,צהוב,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3604,אלון שבות,-999,לא רלוונטי,15>,22.5008036,1.5,0,צהוב,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,41,אליכין,-999,לא רלוונטי,47,112.5216388,9,160,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,1309,אלעד,-999,לא רלוונטי,491,83.57225645,15.2,134.9,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3618,אלעזר,-999,לא רלוונטי,15>,8.169934641,0.7,0,ירוק,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3750,אלפי מנשה,-999,לא רלוונטי,37,33.70365747,3.2,0,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3560,אלקנה,-999,לא רלוונטי,15>,27.78479414,2.3,10,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,529,אעבלין,-999,לא רלוונטי,32,17.75804661,6.3,60,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,529,אעבלין,-999,לא רלוונטי,32,17.75804661,6.3,60,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,529,אעבלין,-999,לא רלוונטי,32,17.75804661,6.3,60,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,963,אעצם (שבט),-999,לא רלוונטי,15>,0.92140422,1.5,0,ירוק,כתום,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3650,אפרת,-999,לא רלוונטי,59,41.1558669,3,74.1,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3570,אריאל,-999,לא רלוונטי,98,34.65443186,4,44.9,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,70,אשדוד,707701,א_ב,139,50.01636049,6.3,67.2,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,70,אשדוד,707702,ג_ז,1043,173.0481639,18.6,52.8,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,70,אשדוד,707703,ד_ה,287,75.84041765,7.6,74.8,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,70,אשדוד,707704,ו_ח_ט,711,149.7230958,13.9,85.5,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,70,אשדוד,707705,טו_טז_יז,242,83.07598626,6.5,69,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,70,אשדוד,707706,י_יג,131,56.23348141,6.4,78.6,אדום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,70,אשדוד,707707,יא_יב,336,75.71415644,6.8,73.1,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,70,אשדוד,707708,"סיטי_מע""ר_מרינה",234,68.39655902,6.4,128.2,אדום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,7100,אשקלון,-999,לא רלוונטי,1591,85.0165936,8.4,60.6,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,6000,באקה אל-גרביה,-999,לא רלוונטי,76,15.43615344,3.9,2.2,צהוב,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,2530,באר יעקב,-999,לא רלוונטי,335,88.48636269,6.3,34.2,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,9000,באר שבע,90007701,1,259,59.47497949,5.2,35.3,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,9000,באר שבע,90007702,2,204,50.57006252,5.4,55.7,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,9000,באר שבע,90007703,3,261,59.25322131,6.2,20.4,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,9000,באר שבע,90007704,4,262,54.00315711,6.8,89.3,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,9000,באר שבע,90007705,5,171,53.73240375,6.5,27.4,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,9000,באר שבע,90007706,6,249,64.77996526,7.4,54.3,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,9000,באר שבע,90007707,7,311,72.97904192,7,73.3,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,9000,באר שבע,90007707,7,311,72.97904192,7,73.3,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,482,בועיינה-נוג'ידאת,-999,לא רלוונטי,40,16.98132055,4.3,-63,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,4001,בוקעאתא,-999,לא רלוונטי,15>,1.497678598,2.6,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,998,ביר אל-מכסור,-999,לא רלוונטי,15>,15.417823,5,50,צהוב,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,1348,ביר הדאג',-999,לא רלוונטי,0,0,0,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3574,בית אל,-999,לא רלוונטי,37,47.24940938,4.9,-15.2,כתום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3652,בית אריה,-999,לא רלוונטי,33,52.41482591,6,154.5,כתום,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3652,בית אריה,-999,לא רלוונטי,33,52.41482591,6,154.5,כתום,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,480,בית ג'ן,-999,לא רלוונטי,50,25.47456652,5.6,-11.4,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,466,בית דגן,-999,לא רלוונטי,71,69.8821595,6.6,64.5,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,1050,בית חשמונאי,-999,לא רלוונטי,21,68.52444038,4.3,-28.6,כתום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,326,בית יצחק-שער חפר,-999,לא רלוונטי,15>,27.98507463,1.9,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,9200,בית שאן,-999,לא רלוונטי,315,132.7713383,12.8,98.4,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,2610,בית שמש,-999,לא רלוונטי,516,31.08690719,6.1,87.7,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,2610,בית שמש,-999,לא רלוונטי,516,31.08690719,6.1,87.7,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,2610,בית שמש,-999,לא רלוונטי,516,31.08690719,6.1,87.7,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3780,ביתר עילית,-999,לא רלוונטי,138,20.39251513,10.1,160.4,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,6100,בני ברק,61007701,1,243,52.51594234,12.6,88.5,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,6100,בני ברק,61007702,2,380,48.10320324,13.3,87.8,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,6100,בני ברק,61007703,3,255,34.10870051,10,52.5,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,6100,בני ברק,61007704,4,333,42.41207784,12.5,72.3,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,1066,"בני עי""ש",-999,לא רלוונטי,41,44.91451753,6.2,29.2,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,9800,בנימינה-גבעת עדה,-999,לא רלוונטי,70,34.43741782,2.4,96.4,כתום,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,9800,בנימינה-גבעת עדה,-999,לא רלוונטי,70,34.43741782,2.4,96.4,כתום,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,1326,"בסמ""ה",-999,לא רלוונטי,15>,5.852516582,1.5,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,1326,"בסמ""ה",-999,לא רלוונטי,15>,5.852516582,1.5,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,1326,"בסמ""ה",-999,לא רלוונטי,15>,5.852516582,1.5,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,944,בסמת טבעון,-999,לא רלוונטי,21,17.49781277,6.3,40,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,944,בסמת טבעון,-999,לא רלוונטי,21,17.49781277,6.3,40,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,483,בענה,-999,לא רלוונטי,15>,11.87507422,4.6,0,צהוב,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3710,ברכה,-999,לא רלוונטי,15>,13.85041551,1.9,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,2038,ברקת,-999,לא רלוונטי,19,71.25890736,11.1,50,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,1319,בת חפר,-999,לא רלוונטי,23,26.52519894,3.4,-22.2,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,6200,בת ים,-999,לא רלוונטי,1087,59.79400808,6.9,18.6,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,1292,ג'דיידה-מכר,-999,לא רלוונטי,88,30.00328161,6.7,4.9,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,1292,ג'דיידה-מכר,-999,לא רלוונטי,88,30.00328161,6.7,4.9,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,485,ג'ולס,-999,לא רלוונטי,15>,4.583651642,1.1,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,627,ג'לג'וליה,-999,לא רלוונטי,22,6.799417193,1.9,-28.6,ירוק,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,541,ג'סר א-זרקא,-999,לא רלוונטי,17,7.940183948,2.4,20,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,487,ג'ש (גוש חלב),-999,לא רלוונטי,20,48.07692308,8.8,50,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,628,ג'ת,-999,לא רלוונטי,54,26.93437806,5.5,-36.5,כתום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3763,גבע בנימין,-999,לא רלוונטי,47,55.58450582,7.2,-20,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,1293,גבעת אבני,-999,לא רלוונטי,19,72.11538462,5.5,50,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,1293,גבעת אבני,-999,לא רלוונטי,19,72.11538462,5.5,50,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,147,גבעת ברנר,-999,לא רלוונטי,15>,45.02814259,2.2,20,כתום,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3730,גבעת זאב,-999,לא רלוונטי,77,28.63837542,5,-5.2,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3730,גבעת זאב,-999,לא רלוונטי,77,28.63837542,5,-5.2,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,681,גבעת שמואל,-999,לא רלוונטי,235,63.15171097,5.1,28.4,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
